No,Position,Rank,Discipline,Yrs.since.phd,Yrs.service,Sex,Salary
226,Prof,1,A,20,20,Male,122400
227,AsstProf,3,A,3,1,Male,63900
228,AssocProf,2,A,9,7,Male,70000
229,Prof,1,A,16,11,Male,88175
230,Prof,1,A,39,38,Male,133900
231,Prof,1,A,29,27,Female,91000
232,AssocProf,2,A,26,24,Female,73300
233,Prof,1,A,38,19,Male,148750
234,Prof,1,A,36,19,Female,117555
235,AsstProf,3,A,8,3,Male,69700
236,Prof,1,A,28,17,Male,81700
237,Prof,1,A,25,25,Male,114000
238,AsstProf,3,A,7,6,Female,63100
239,Prof,1,A,46,40,Male,77202
240,Prof,1,A,19,6,Male,96200
241,AsstProf,3,A,5,3,Male,69200
242,Prof,1,A,31,30,Male,122875
243,Prof,1,A,38,37,Male,102600
244,Prof,1,A,23,23,Male,108200
245,Prof,1,A,19,23,Male,84273
246,Prof,1,A,17,11,Female,90450
247,Prof,1,A,30,23,Male,91100
248,Prof,1,A,21,18,Male,101100
249,Prof,1,A,28,23,Male,128800
250,Prof,1,A,29,7,Male,204000
251,Prof,1,A,39,39,Male,109000
252,Prof,1,A,20,8,Male,102000
253,Prof,1,A,31,12,Male,132000
254,AsstProf,3,A,4,2,Female,77500
255,Prof,1,A,28,7,Female,116450
256,AssocProf,2,A,12,8,Male,83000
257,Prof,1,A,22,22,Male,140300
258,AssocProf,2,A,30,23,Male,74000
259,AsstProf,3,A,9,3,Male,73800
260,Prof,1,A,32,30,Male,92550
261,AssocProf,2,A,41,33,Male,88600
262,Prof,1,A,45,45,Male,107550
263,Prof,1,A,31,26,Male,121200
264,Prof,1,A,31,31,Male,126000
265,Prof,1,A,37,35,Male,99000
266,Prof,1,A,36,30,Male,134800
267,Prof,1,A,43,43,Male,143940
268,Prof,1,A,14,10,Male,104350
269,Prof,1,A,47,44,Male,89650
270,Prof,1,A,13,7,Male,103700
271,Prof,1,A,42,40,Male,143250
272,Prof,1,A,42,18,Male,194800
273,AsstProf,3,A,4,1,Male,73000
274,AsstProf,3,A,8,4,Male,74000
275,AsstProf,3,A,8,3,Female,78500
276,Prof,1,A,12,6,Male,93000
277,Prof,1,A,52,48,Male,107200
278,Prof,1,A,31,27,Male,163200
279,Prof,1,A,24,18,Male,107100
280,Prof,1,A,46,46,Male,100600
281,Prof,1,A,39,38,Male,136500
282,Prof,1,A,37,27,Male,103600
283,Prof,1,A,51,51,Male,57800
284,Prof,1,A,45,43,Male,155865
285,AssocProf,2,A,8,6,Male,88650
286,AssocProf,2,A,49,49,Male,81800
287,Prof,1,A,28,27,Male,115800
288,AsstProf,3,A,2,0,Male,85000
289,Prof,1,A,29,27,Male,150500
290,AsstProf,3,A,8,5,Male,74000
291,Prof,1,A,33,7,Male,174500
292,Prof,1,A,32,28,Male,168500
293,Prof,1,A,39,9,Male,183800
294,AssocProf,2,A,11,1,Male,104800
295,Prof,1,A,19,7,Male,107300
296,Prof,1,A,40,36,Male,97150
297,Prof,1,A,18,18,Male,126300
298,Prof,1,A,17,11,Male,148800
299,Prof,1,A,49,43,Male,72300
300,AssocProf,2,A,45,39,Male,70700
301,Prof,1,A,39,36,Male,88600
302,Prof,1,A,27,16,Male,127100
303,Prof,1,A,28,13,Male,170500
304,Prof,1,A,14,4,Male,105260
305,Prof,1,A,46,44,Male,144050
306,Prof,1,A,33,31,Male,111350
307,AsstProf,3,A,7,4,Male,74500
308,Prof,1,A,31,28,Male,122500
309,AsstProf,3,A,5,0,Male,74000
310,Prof,1,A,22,15,Male,166800
311,Prof,1,A,20,7,Male,92050
312,Prof,1,A,14,9,Male,108100
313,Prof,1,A,29,19,Male,94350
314,Prof,1,A,35,35,Male,100351
315,Prof,1,A,22,6,Male,146800
316,AsstProf,3,B,6,3,Male,84716
317,AssocProf,2,B,12,9,Female,71065
318,Prof,1,B,46,45,Male,67559
319,Prof,1,B,16,16,Male,134550
320,Prof,1,B,16,15,Male,135027
321,Prof,1,B,24,23,Male,104428
322,AssocProf,2,B,9,9,Male,95642
323,AssocProf,2,B,13,11,Male,126431
324,Prof,1,B,24,15,Female,161101
325,Prof,1,B,30,31,Male,162221
326,AsstProf,3,B,8,4,Male,84500
327,Prof,1,B,23,15,Male,124714
328,Prof,1,B,37,37,Male,151650
329,AssocProf,2,B,10,10,Male,99247
330,Prof,1,B,23,23,Male,134778
331,Prof,1,B,49,60,Male,192253
332,Prof,1,B,20,9,Male,116518
333,Prof,1,B,18,10,Female,105450
334,Prof,1,B,33,19,Male,145098
335,AssocProf,2,B,19,6,Female,104542
336,Prof,1,B,36,38,Male,151445
337,Prof,1,B,35,23,Male,98053
338,Prof,1,B,13,12,Male,145000
339,Prof,1,B,32,25,Male,128464
340,Prof,1,B,37,15,Male,137317
341,Prof,1,B,13,11,Male,106231
342,Prof,1,B,17,17,Female,124312
343,Prof,1,B,38,38,Male,114596
344,Prof,1,B,31,31,Male,162150
345,Prof,1,B,32,35,Male,150376
346,Prof,1,B,15,10,Male,107986
347,Prof,1,B,41,27,Male,142023
348,Prof,1,B,39,33,Male,128250
349,AsstProf,3,B,4,3,Male,80139
350,Prof,1,B,27,28,Male,144309
351,Prof,1,B,56,49,Male,186960
352,Prof,1,B,38,38,Male,93519
353,Prof,1,B,26,27,Male,142500
354,Prof,1,B,22,20,Male,138000
355,AsstProf,3,B,8,1,Male,83600
356,Prof,1,B,25,21,Male,145028
357,Prof,1,A,49,40,Male,88709
358,Prof,1,A,39,35,Male,107309
359,Prof,1,A,28,14,Female,109954
360,AsstProf,3,A,11,4,Male,78785
361,Prof,1,A,14,11,Male,121946
362,Prof,1,A,23,15,Female,109646
363,Prof,1,A,30,30,Male,138771
364,AssocProf,2,A,20,17,Male,81285
365,Prof,1,A,43,43,Male,205500
366,Prof,1,A,43,40,Male,101036
367,Prof,1,A,15,10,Male,115435
368,AssocProf,2,A,10,1,Male,108413
369,Prof,1,A,35,30,Male,131950
370,Prof,1,A,33,31,Male,134690
371,AssocProf,2,A,13,8,Male,78182
372,Prof,1,A,23,20,Male,110515
373,Prof,1,A,12,7,Male,109707
374,Prof,1,A,30,26,Male,136660
375,Prof,1,A,27,19,Male,103275
376,Prof,1,A,28,26,Male,103649
377,AsstProf,3,A,4,1,Male,74856
378,AsstProf,3,A,6,3,Male,77081
379,Prof,1,A,38,38,Male,150680
380,AssocProf,2,A,11,8,Male,104121
381,AsstProf,3,A,8,3,Male,75996
382,Prof,1,A,27,23,Male,172505
383,AssocProf,2,A,8,5,Male,86895
384,Prof,1,A,44,44,Male,105000
385,Prof,1,A,27,21,Male,125192
386,Prof,1,A,15,9,Male,114330
387,Prof,1,A,29,27,Male,139219
388,Prof,1,A,29,15,Male,109305
389,Prof,1,A,38,36,Male,119450
390,Prof,1,A,33,18,Male,186023
391,Prof,1,A,40,19,Male,166605
392,Prof,1,A,30,19,Male,151292
393,Prof,1,A,33,30,Male,103106
394,Prof,1,A,31,19,Male,150564
395,Prof,1,A,42,25,Male,101738
396,Prof,1,A,25,15,Male,95329
397,AsstProf,3,A,8,4,Male,81035
